,Brand,Price,Horsepower,Fuel Efficiency,Encodede_Brand,Scaled_HorsePower,Scaled_Fuel_Efficiency,Scaled_Brand,Performance_Index
66,Brand D,70482,474,33.0,9,0.935,0.92,1.0,0.004848046309696092
67,Brand W,72835,244,31.5,1,0.36,0.86,0.0,0.0024747717443536757
68,Brand W,35571,354,25.5,1,0.635,0.62,0.0,0.007181411824238846
69,Brand X,37908,205,14.4,8,0.2625,0.17600000000000002,0.875,0.003899440751292603
70,Brand A,49095,197,16.6,4,0.2425,0.26400000000000007,0.375,0.002910275995518891
71,Brand A,98767,330,10.3,4,0.575,0.012000000000000028,0.375,0.002370123624287464
72,Brand W,33667,283,27.7,1,0.4575,0.708,0.0,0.006130929396738646
73,Brand C,47868,154,14.9,6,0.135,0.196,0.625,0.002345408205899557
74,Brand Y,32684,222,28.9,3,0.305,0.7559999999999999,0.25,0.005019887406682168
75,Brand Z,95983,271,19.6,7,0.4275,0.38400000000000006,0.75,0.002037652500963712
76,Brand X,89267,204,24.9,8,0.26,0.596,0.875,0.0016833768357847802
77,Brand X,33850,408,30.5,8,0.77,0.82,0.875,0.008707533234859673
78,Brand W,84671,152,16.5,1,0.13,0.26,0.0,0.0013150901725502238
79,Brand W,54081,212,18.0,1,0.28,0.32,0.0,0.0028438823246611563
80,Brand C,57404,357,34.2,6,0.6425,0.9680000000000001,0.625,0.00453208835621211
81,Brand Z,76085,477,15.8,7,0.9425,0.23200000000000004,0.75,0.004450811592298087
82,Brand E,94629,414,25.3,2,0.785,0.612,0.125,0.0031426941001172996
83,Brand C,39722,415,10.2,6,0.7875,0.007999999999999972,0.625,0.007390363023009919
84,Brand Z,75163,176,17.9,7,0.19,0.31599999999999995,0.75,0.0017105490733472586
85,Brand A,82723,175,25.7,4,0.1875,0.628,0.375,0.0015740483299686904
86,Brand D,69648,242,34.0,9,0.355,0.96,1.0,0.0025786813691706864
87,Brand B,36457,119,31.3,5,0.0475,0.852,0.5,0.002542447266642894
88,Brand D,73006,175,24.4,9,0.1875,0.576,1.0,0.001778210010136153
89,Brand E,58809,487,18.4,2,0.9675,0.33599999999999997,0.125,0.0058905949769593085
90,Brand C,60421,472,30.8,6,0.93,0.8320000000000001,0.625,0.005621224408732063
91,Brand B,60815,343,20.1,5,0.6075,0.4040000000000001,0.5,0.004047192304530133
92,Brand Y,82142,423,21.5,3,0.8075,0.46,0.25,0.0036832558252781764
93,Brand Y,99304,449,25.8,3,0.8725,0.632,0.25,0.0032429710787078058
94,Brand C,67139,196,16.9,6,0.24,0.27599999999999997,0.625,0.0021190366255082736
95,Brand X,72244,209,17.0,8,0.2725,0.28,0.875,0.0020956757654614915
96,Brand D,81681,137,18.5,9,0.0925,0.34,1.0,0.0012420269095628114
97,Brand X,96377,102,12.1,8,0.005,0.08399999999999999,0.875,0.0007785052450273404
98,Brand X,96461,214,28.5,8,0.285,0.74,0.875,0.001641596085464592
99,Brand W,49762,128,34.0,1,0.07,0.96,0.0,0.002005546400868132
100,Brand E,34119,453,17.6,2,0.8825,0.30400000000000005,0.125,0.009448694275916643
101,Brand A,48537,181,23.4,4,0.2025,0.5359999999999999,0.375,0.0027550116406040753
102,Brand X,94739,381,22.8,8,0.7025,0.512,0.875,0.0028873009003683803
103,Brand Y,41256,478,20.8,3,0.945,0.43200000000000005,0.25,0.008261586193523365
104,Brand D,80533,220,28.3,9,0.3,0.732,1.0,0.0020176821923931806
105,Brand D,71517,393,34.2,9,0.7325,0.9680000000000001,1.0,0.0039901002558832156
106,Brand A,73334,406,14.3,4,0.765,0.17200000000000004,0.375,0.003933918782556522
107,Brand W,50421,262,12.3,1,0.405,0.09200000000000003,0.0,0.003710557109141032
108,Brand B,48526,442,13.6,5,0.855,0.144,0.5,0.006460042039319127
109,Brand Y,72626,440,21.1,3,0.85,0.44400000000000006,0.25,0.004328064329578938
110,Brand Y,60759,138,29.2,3,0.095,0.768,0.25,0.0017340640892707254
111,Brand A,33431,327,33.0,4,0.5675,0.92,0.375,0.0071430708025485325
112,Brand D,64870,259,31.7,9,0.3975,0.868,1.0,0.0029414213041467547
113,Brand B,70915,375,29.4,5,0.6875,0.7759999999999999,0.5,0.0038259888599027005
114,Brand D,35527,203,34.0,9,0.2575,0.96,1.0,0.004286880400821909
115,Brand A,38953,121,25.9,4,0.0525,0.6359999999999999,0.375,0.002373886478576746
116,Brand W,49106,393,12.9,1,0.7325,0.11600000000000002,0.0,0.005680975848165193
117,Brand W,50976,350,29.7,1,0.625,0.7879999999999999,0.0,0.004980971437539234
118,Brand W,88322,371,31.7,1,0.6775,0.868,0.0,0.0030480514481103236
119,Brand Y,99437,364,13.1,3,0.66,0.12399999999999999,0.25,0.002601948972716393
120,Brand W,66089,133,15.1,1,0.0825,0.204,0.0,0.001477250374494999
121,Brand B,51585,372,17.5,5,0.68,0.3,0.5,0.00514975283512649
122,Brand Z,61643,206,16.2,7,0.265,0.24799999999999997,0.75,0.0024181172233668055
123,Brand B,40277,264,26.3,5,0.41,0.652,0.5,0.004784119969213197
124,Brand E,49230,261,23.2,2,0.4025,0.528,0.125,0.0038525289457647777
125,Brand D,99979,369,28.2,9,0.6725,0.728,1.0,0.00266816031366587
126,Brand A,52740,302,29.1,4,0.505,0.764,0.375,0.004173871824042472
127,Brand D,95643,160,11.1,9,0.15,0.043999999999999984,1.0,0.0012058383781353575
128,Brand E,71590,349,20.9,2,0.6225,0.43599999999999994,0.125,0.0035000698421567256
129,Brand D,33755,249,34.8,9,0.3725,0.9919999999999999,1.0,0.0054729669678566135
130,Brand Y,41844,130,11.7,3,0.075,0.06799999999999998,0.25,0.0022586272822865882
131,Brand Y,80517,167,18.2,3,0.1675,0.32799999999999996,0.25,0.0015196790739843758
132,Brand W,49461,301,13.7,1,0.5025,0.14799999999999996,0.0,0.004343017731141707
133,Brand E,30667,239,15.0,2,0.3475,0.2,0.125,0.005602113020510646
134,Brand A,91753,196,25.5,4,0.24,0.62,0.375,0.0015786949745512408
135,Brand B,78913,396,26.5,5,0.74,0.66,0.5,0.003613473065274416
136,Brand C,79572,455,27.0,6,0.8875,0.68,0.625,0.004104458854873574
137,Brand Y,82088,321,32.7,3,0.5525,0.9080000000000001,0.25,0.0028568122015398107
138,Brand D,63779,498,34.3,9,0.995,0.9719999999999999,1.0,0.005627087285783722
139,Brand A,30024,349,15.9,4,0.6225,0.23600000000000002,0.375,0.008295696775912603
140,Brand A,53227,451,26.9,4,0.8775,0.6759999999999999,0.375,0.0060828151126308076
141,Brand Y,49842,412,14.5,3,0.78,0.18,0.25,0.00587356045102524
142,Brand X,58314,222,12.5,8,0.305,0.1,0.875,0.0027291902459100725
143,Brand A,73887,407,10.5,4,0.7675,0.02,0.375,0.0038985207140633665
144,Brand Y,55940,408,26.3,3,0.77,0.652,0.25,0.005246514122273864
145,Brand D,40672,188,28.1,9,0.22,0.7240000000000001,1.0,0.0034429091266719117
146,Brand E,79349,426,18.7,2,0.815,0.348,0.125,0.003828781711174684
147,Brand C,52431,398,18.8,6,0.745,0.35200000000000004,0.625,0.005421220270450687
148,Brand X,56322,225,14.3,8,0.3125,0.17200000000000004,0.875,0.0028725897517843826
149,Brand C,31816,376,11.9,6,0.69,0.07600000000000001,0.625,0.008384774955996982
150,Brand B,98141,412,31.9,5,0.78,0.8759999999999999,0.5,0.003036141877502776
151,Brand B,97568,380,13.9,5,0.7,0.15600000000000003,0.5,0.0027690431288947197
152,Brand X,62821,250,10.4,8,0.375,0.016000000000000014,0.875,0.0028353576033491984
153,Brand A,47132,104,33.9,4,0.01,0.956,0.375,0.0017603751166935416
154,Brand E,68470,169,20.5,2,0.1725,0.42,0.125,0.0018175843435081058
155,Brand Y,45260,444,29.5,3,0.86,0.78,0.25,0.007062527618205921
156,Brand D,49157,403,16.2,9,0.7575,0.24799999999999997,1.0,0.005837622312183412
157,Brand D,36278,475,18.2,9,0.9375,0.32799999999999996,1.0,0.009315838800374883
158,Brand X,74454,133,14.1,8,0.0825,0.16399999999999998,0.875,0.0013072501141644505
159,Brand Z,65710,128,21.0,7,0.07,0.44,0.75,0.0014594430071526402
160,Brand X,52075,284,31.2,8,0.46,0.848,0.875,0.003997311569851176
161,Brand Y,66531,381,11.1,3,0.7025,0.043999999999999984,0.25,0.00405870947377914
162,Brand A,46753,419,17.5,4,0.7975,0.3,0.375,0.006385686480011977
163,Brand E,36102,308,15.1,2,0.52,0.204,0.125,0.006097446124868428
164,Brand E,51627,269,22.9,2,0.4225,0.5159999999999999,0.125,0.003780386232010382
165,Brand W,83049,174,33.5,1,0.185,0.94,0.0,0.0015876169490300907
166,Brand E,45201,427,31.7,2,0.8175,0.868,0.125,0.006823079135417357
167,Brand C,44911,166,32.0,6,0.165,0.88,0.625,0.0028010954999888667
168,Brand C,51087,117,33.4,6,0.0425,0.9359999999999999,0.625,0.0017992835750778081
169,Brand A,77227,185,21.8,4,0.2125,0.47200000000000003,0.375,0.001761560076139174
170,Brand X,88092,428,14.2,8,0.82,0.16799999999999998,0.875,0.003449348408482041
171,Brand E,90663,140,26.3,2,0.1,0.652,0.125,0.0011679516451032945
172,Brand E,70215,176,28.3,2,0.19,0.732,0.125,0.0018755251726838994
173,Brand Z,43713,336,32.9,7,0.59,0.9159999999999999,0.75,0.005606341362981264
174,Brand X,79645,192,16.0,8,0.23,0.24,0.875,0.0017477556657668402
175,Brand Y,38803,420,25.6,3,0.8,0.6240000000000001,0.25,0.007774656598716594
176,Brand A,45787,228,27.9,4,0.32,0.716,0.375,0.003668508528621661
177,Brand B,64143,347,25.0,5,0.6175,0.6,0.5,0.0039037774971547945
178,Brand Y,47139,194,31.4,3,0.235,0.856,0.25,0.003080676297757695
179,Brand Z,46302,383,12.9,7,0.7075,0.11600000000000002,0.75,0.005873828344347976
180,Brand W,34830,315,33.2,1,0.5375,0.9280000000000002,0.0,0.006616709732988803
181,Brand Z,56555,200,31.1,7,0.25,0.8440000000000001,0.75,0.0026404385111838038
182,Brand C,86313,387,14.4,6,0.7175,0.17600000000000002,0.625,0.003188627437350109
183,Brand Y,83440,252,14.7,3,0.38,0.18799999999999997,0.25,0.002166946308724832
184,Brand Z,44961,471,32.5,7,0.9275,0.9,0.75,0.00754987655968506
185,Brand W,64475,357,31.2,1,0.6425,0.848,0.0,0.004021093447072508
186,Brand B,63805,296,15.9,5,0.49,0.23600000000000002,0.5,0.0033221534362510774
187,Brand E,71848,472,20.1,2,0.93,0.4040000000000001,0.125,0.004682524217793118
188,Brand D,35720,218,22.6,9,0.295,0.504,1.0,0.0044619260918253075
189,Brand X,57401,314,31.2,8,0.535,0.848,0.875,0.003992264943119457
190,Brand Z,32510,207,34.3,7,0.2675,0.9719999999999999,0.75,0.004773608120578283
191,Brand E,83063,417,13.1,2,0.7925,0.12399999999999999,0.125,0.0035615135499560573
192,Brand C,44528,239,16.3,6,0.3475,0.252,0.625,0.003867005030542579
193,Brand D,31065,405,14.9,9,0.7625,0.196,1.0,0.009269917914051184
194,Brand X,84752,397,31.2,8,0.7425,0.848,0.875,0.0033894185387955446
195,Brand Z,32209,422,32.5,7,0.805,0.9,0.75,0.009474060045328945
196,Brand Y,51984,177,34.7,3,0.1925,0.9880000000000001,0.25,0.002583679593721145
197,Brand D,37992,342,26.2,9,0.605,0.648,1.0,0.006508212255211623
198,Brand B,69943,274,15.8,5,0.435,0.23200000000000004,0.5,0.002810002430550591
199,Brand X,59626,265,23.7,8,0.4125,0.5479999999999999,0.875,0.003230302217153591
200,Brand E,31282,480,24.6,2,0.95,0.5840000000000001,0.125,0.010976919634294483
201,Brand W,76374,500,26.3,1,1.0,0.652,0.0,0.004686018802210176
202,Brand B,36798,461,31.9,5,0.9025,0.8759999999999999,0.5,0.009029566824283929
203,Brand E,86743,178,21.9,2,0.195,0.4759999999999999,0.125,0.0015121681288403673
204,Brand D,72522,272,12.5,9,0.43,0.1,1.0,0.002677118667438846
205,Brand Y,59179,401,19.1,3,0.7525,0.36400000000000005,0.25,0.004840061508305311
206,Brand E,88828,317,16.0,2,0.5425,0.24,0.125,0.0025521232043950104
207,Brand W,34099,395,12.4,1,0.7375,0.09600000000000002,0.0,0.008217836300184756
208,Brand X,54533,181,15.7,8,0.2025,0.22799999999999998,0.875,0.002409733555828581
209,Brand A,70835,302,11.5,4,0.505,0.06,0.375,0.003033105103409331
210,Brand D,96273,317,10.4,9,0.5425,0.016000000000000014,1.0,0.002337311603460991
211,Brand X,52627,431,28.5,8,0.8275,0.74,0.875,0.0058952628878712445
212,Brand D,60078,115,10.3,9,0.0375,0.012000000000000028,1.0,0.0013913579013948535
213,Brand W,83011,349,28.7,1,0.6225,0.748,0.0,0.003046704653600125
214,Brand C,51934,453,28.0,6,0.8825,0.72,0.625,0.0062675703777871905
215,Brand Z,83121,482,10.5,7,0.955,0.02,0.75,0.0040970392560243495
216,Brand X,76878,422,14.1,8,0.805,0.16399999999999998,0.875,0.003897473919716954
217,Brand C,93627,278,34.4,6,0.445,0.976,0.625,0.002188684887906266
218,Brand A,91729,325,19.8,4,0.5625,0.392,0.375,0.0025448876582105985
219,Brand C,95216,146,18.4,6,0.115,0.33599999999999997,0.625,0.0011313224668123003
220,Brand W,80362,114,20.3,1,0.035,0.41200000000000003,0.0,0.00106878873099226
221,Brand Z,59416,140,12.6,7,0.1,0.10399999999999998,0.75,0.0017130065975494817
222,Brand D,48545,198,19.2,9,0.245,0.368,1.0,0.002973735709135853
223,Brand W,60640,358,34.6,1,0.645,0.9840000000000001,0.0,0.004303759894459103
224,Brand Z,94823,233,30.6,7,0.3325,0.8240000000000001,0.75,0.0018168587789882203
225,Brand Y,39046,500,21.6,3,1.0,0.4640000000000001,0.25,0.009129744404036265
226,Brand W,80807,283,32.1,1,0.4575,0.884,0.0,0.002570693133020654
227,Brand D,44152,431,13.5,9,0.8275,0.14,1.0,0.006924941112520384
228,Brand Z,52923,188,29.8,7,0.22,0.792,0.75,0.002655556185401432
229,Brand B,49126,450,20.5,5,0.875,0.42,0.5,0.006537271505923543
230,Brand A,79871,261,33.8,4,0.4025,0.9519999999999998,0.375,0.0024143932090495922
231,Brand Y,64565,294,16.2,3,0.485,0.24799999999999997,0.25,0.0032627584604661966
232,Brand X,96840,208,27.7,8,0.27,0.708,0.875,0.0015893225939694342
233,Brand D,59222,407,11.9,9,0.7675,0.07600000000000001,1.0,0.004870993887406707
234,Brand B,38150,354,10.4,5,0.635,0.016000000000000014,0.5,0.006577195281782438
235,Brand E,37538,160,23.2,2,0.15,0.528,0.125,0.0031690553572379988
236,Brand B,94784,134,18.1,5,0.085,0.32400000000000007,0.5,0.0010469066509115462
237,Brand B,90681,376,15.8,5,0.69,0.23200000000000004,0.5,0.002954753476472469
238,Brand D,81189,457,21.2,9,0.8925,0.44799999999999995,1.0,0.004018524676988262
239,Brand B,33926,255,15.9,5,0.3875,0.23600000000000002,0.5,0.00540205152390497
240,Brand D,73434,438,31.0,9,0.845,0.84,1.0,0.004301822044284664
241,Brand B,50046,318,16.7,5,0.545,0.26799999999999996,0.5,0.004548015825440594
242,Brand D,94527,183,14.8,9,0.2075,0.19200000000000003,1.0,0.001402139071376432
243,Brand W,94111,425,19.5,1,0.8125,0.38,0.0,0.0032233213970736686
244,Brand A,31181,451,13.4,4,0.8775,0.136,0.375,0.010253680125717583
245,Brand Z,37351,176,12.8,7,0.19,0.11200000000000003,0.75,0.003401247623892265
246,Brand Y,86551,128,29.4,3,0.07,0.7759999999999999,0.25,0.0011371330198380145
247,Brand Y,66206,349,12.0,3,0.6225,0.08,0.25,0.0037443736217261272
248,Brand A,71051,294,31.9,4,0.485,0.8759999999999999,0.375,0.0030312029387341483
249,Brand C,48022,139,15.9,6,0.0975,0.23600000000000002,0.625,0.0021254841530964973
250,Brand C,89476,339,30.3,6,0.5975,0.812,0.625,0.002753699316017703
251,Brand E,98144,222,24.4,2,0.305,0.576,0.125,0.0016579719595696118
252,Brand Z,57238,117,21.3,7,0.0425,0.452,0.75,0.0015425067263007092
253,Brand E,93290,136,35.0,2,0.09,1.0,0.125,0.0011330260478079107
254,Brand W,60377,200,14.7,1,0.25,0.18799999999999997,0.0,0.0023918048263411565
255,Brand Z,39260,210,17.7,7,0.275,0.308,0.75,0.003879521141110545
256,Brand Z,34022,313,25.3,7,0.5325,0.612,0.75,0.0066630415613426605
257,Brand A,31662,203,22.5,4,0.2575,0.5,0.375,0.004701219127029246
258,Brand D,32407,356,12.1,9,0.64,0.08399999999999999,1.0,0.007801709507205233
259,Brand C,92237,224,28.0,6,0.31,0.72,0.625,0.0017910383035007642
260,Brand A,54785,140,23.5,4,0.1,0.54,0.375,0.0019174956648717713
261,Brand W,34963,290,11.8,1,0.475,0.07200000000000002,0.0,0.00590738780997054
262,Brand A,54414,213,10.2,4,0.2825,0.007999999999999972,0.375,0.0027963391774175764
263,Brand Z,87011,137,20.4,7,0.0925,0.4159999999999999,0.75,0.001172495431612095
264,Brand A,46033,476,17.1,4,0.94,0.28400000000000003,0.375,0.007349727369495796
265,Brand A,76676,371,28.2,4,0.6775,0.728,0.375,0.003497313370546194
266,Brand E,40731,159,22.6,2,0.1475,0.504,0.125,0.002899020402150696
267,Brand Y,43186,291,30.7,3,0.4775,0.828,0.25,0.00493006993006993
268,Brand A,95882,253,11.5,4,0.3825,0.06,0.375,0.001883043741265305
269,Brand W,34332,292,31.3,1,0.48,0.852,0.0,0.006227135034370266
270,Brand W,53068,378,13.7,1,0.695,0.14799999999999996,0.0,0.005063503429562071
271,Brand A,68892,349,24.7,4,0.6225,0.588,0.375,0.003653689833362364
272,Brand C,71916,431,12.9,6,0.8275,0.11600000000000002,0.625,0.004248984926859114
273,Brand E,88439,435,20.7,2,0.8375,0.428,0.125,0.003513269032892728
274,Brand B,64747,447,11.3,5,0.8675,0.052000000000000025,0.5,0.0048850139774815815
275,Brand W,86496,367,19.1,1,0.6675,0.36400000000000005,0.0,0.003036325379208287
276,Brand X,80716,349,13.6,8,0.6225,0.144,0.875,0.0030772089796322908
277,Brand B,55385,340,33.3,5,0.6,0.9319999999999999,0.5,0.004477566128012999
278,Brand D,59933,499,32.9,9,0.9975,0.9159999999999999,1.0,0.005992858692206296
279,Brand A,92412,275,25.5,4,0.4375,0.62,0.375,0.0021658442626498724
280,Brand C,98367,461,16.5,6,0.9025,0.26,0.625,0.0033308934907031826
281,Brand E,48129,130,29.4,2,0.075,0.7759999999999999,0.125,0.0020740094329821934
282,Brand A,94547,183,24.2,4,0.2075,0.568,0.375,0.001431668905412123
283,Brand W,95301,132,18.9,1,0.08,0.3559999999999999,0.0,0.0010290553089684262
284,Brand Y,30001,465,21.2,3,0.9125,0.44799999999999995,0.25,0.011061631278957368
285,Brand D,36707,332,26.9,9,0.58,0.6759999999999999,1.0,0.006551066554063257
286,Brand D,33309,365,11.8,9,0.6625,0.07200000000000002,1.0,0.007776877120297817
287,Brand Y,36337,359,29.4,3,0.6475,0.7759999999999999,0.25,0.007158543633211328
288,Brand D,97053,304,21.0,9,0.51,0.44,1.0,0.002257529391157409
289,Brand B,58528,234,10.0,5,0.335,0.0,0.5,0.0028499179879715687
290,Brand D,31838,431,26.1,9,0.8275,0.644,1.0,0.00972203027828381
291,Brand C,75088,381,18.3,6,0.7025,0.332,0.625,0.003624946729171106
292,Brand E,68508,231,28.1,2,0.3275,0.7240000000000001,0.125,0.002483359607637064
293,Brand D,57521,259,30.1,9,0.3975,0.804,1.0,0.003308878496549086
294,Brand X,90593,474,34.1,8,0.935,0.9640000000000001,0.875,0.003775457264910092
295,Brand W,65049,189,27.6,1,0.2225,0.7040000000000001,0.0,0.0021611400636443296
296,Brand B,44761,452,16.2,5,0.88,0.24799999999999997,0.5,0.00717723017805679
297,Brand E,94754,472,30.6,2,0.93,0.8240000000000001,0.125,0.003583806488380438
298,Brand X,41610,384,13.2,8,0.71,0.12799999999999997,0.875,0.006555155010814707
299,Brand B,96605,109,24.5,5,0.0225,0.58,0.5,0.0008658972102893224
300,Brand C,92009,361,28.4,6,0.6525,0.736,0.625,0.0028390700909693613
301,Brand A,49750,175,23.1,4,0.1875,0.524,0.375,0.0026016080402010045
302,Brand A,75846,375,12.5,4,0.6875,0.1,0.375,0.003510402658017562
303,Brand D,78270,169,30.5,9,0.1725,0.82,1.0,0.0016283378050338572
304,Brand Z,52276,396,19.6,7,0.74,0.38400000000000006,0.75,0.0054151044456347075
305,Brand X,66744,224,12.3,8,0.31,0.09200000000000003,0.875,0.0024045607095768903
306,Brand A,48512,163,19.5,4,0.1575,0.38,0.375,0.0024725841029023744
307,Brand D,67754,244,20.1,9,0.36,0.4040000000000001,1.0,0.0026098828113469315
308,Brand C,85226,452,11.3,6,0.88,0.052000000000000025,0.625,0.0037522587003965924
309,Brand Y,44910,274,21.1,3,0.435,0.44400000000000006,0.25,0.004411712313515921
310,Brand E,91232,437,30.6,2,0.8425,0.8240000000000001,0.125,0.003453612767450017
311,Brand A,34537,246,25.4,4,0.365,0.616,0.375,0.005206590033876712
312,Brand A,31600,482,29.1,4,0.955,0.764,0.375,0.010953481012658228
313,Brand Y,52864,102,21.4,3,0.005,0.45599999999999996,0.25,0.0014720792978208232
314,Brand E,66118,340,27.9,2,0.6,0.716,0.125,0.003726216763967452
315,Brand B,98850,406,15.8,5,0.765,0.23200000000000004,0.5,0.0029230146686899344
316,Brand C,49858,102,25.4,6,0.005,0.616,0.625,0.0015849011191784667
317,Brand E,49241,218,20.2,2,0.295,0.408,0.125,0.0032221116549217116
318,Brand C,59276,342,17.7,6,0.605,0.308,0.625,0.004128315001012213
319,Brand C,50206,294,16.5,6,0.485,0.26,0.625,0.00419770545353145
320,Brand C,32898,258,22.9,6,0.395,0.5159999999999999,0.625,0.005698522706547511
321,Brand Y,85356,335,24.6,3,0.5875,0.5840000000000001,0.25,0.0028337785275786113
322,Brand X,64204,477,34.8,8,0.9425,0.9919999999999999,0.875,0.005363217245031462
323,Brand Y,34756,157,30.2,3,0.1425,0.8079999999999999,0.25,0.0034227183795603635
324,Brand D,72671,169,26.5,9,0.1725,0.66,1.0,0.0017372817217321903
